<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2024.08.01,7:09:00,149.431,149.472,149.43,149.455,46,0,2
2024.08.01,7:10:00,149.454,149.48,149.417,149.421,46,0,2
2024.08.01,7:11:00,149.408,149.452,149.406,149.442,63,0,2
2024.08.01,7:12:00,149.443,149.465,149.416,149.436,61,0,2
2024.08.01,7:13:00,149.44,149.457,149.431,149.45,53,0,3
2024.08.01,7:14:00,149.45,149.471,149.415,149.435,49,0,2
2024.08.01,7:15:00,149.421,149.46,149.398,149.398,64,0,1
2024.08.01,7:16:00,149.4,149.435,149.387,149.415,61,0,1
2024.08.01,7:17:00,149.415,149.425,149.392,149.395,57,0,1
2024.08.01,7:18:00,149.395,149.416,149.343,149.343,65,0,1
2024.08.01,7:19:00,149.343,149.401,149.343,149.367,45,0,2
2024.08.01,7:20:00,149.366,149.379,149.347,149.37,44,0,1
2024.08.01,7:21:00,149.37,149.411,149.347,149.411,45,0,2
2024.08.01,7:22:00,149.41,149.495,149.41,149.486,48,0,2
2024.08.01,7:23:00,149.486,149.494,149.444,149.472,63,0,1
2024.08.01,7:24:00,149.473,149.507,149.462,149.462,65,0,2
2024.08.01,7:25:00,149.462,149.496,149.448,149.475,50,0,4
2024.08.01,7:26:00,149.475,149.501,149.465,149.486,43,0,3
2024.08.01,7:27:00,149.486,149.491,149.445,149.446,40,0,1
2024.08.01,7:28:00,149.446,149.452,149.4,149.411,52,0,1
2024.08.01,7:29:00,149.411,149.425,149.387,149.389,41,0,2
2024.08.01,7:30:00,149.389,149.43,149.364,149.408,62,0,3
2024.08.01,7:31:00,149.407,149.438,149.392,149.4,54,0,4
2024.08.01,7:32:00,149.4,149.442,149.398,149.425,55,0,2
2024.08.01,7:33:00,149.426,149.426,149.369,149.385,60,0,2
2024.08.01,7:34:00,149.386,149.413,149.366,149.371,60,0,1
2024.08.01,7:35:00,149.37,149.422,149.37,149.418,55,0,3
2024.08.01,7:36:00,149.418,149.543,149.418,149.543,78,0,1
2024.08.01,7:37:00,149.542,149.588,149.538,149.561,77,0,2
2024.08.01,7:38:00,149.566,149.567,149.519,149.528,71,0,3
2024.08.01,7:39:00,149.528,149.528,149.482,149.493,68,0,1
2024.08.01,7:40:00,149.498,149.552,149.496,149.538,68,0,3
2024.08.01,7:41:00,149.542,149.549,149.473,149.473,71,0,1
2024.08.01,7:42:00,149.471,149.515,149.466,149.507,59,0,2
2024.08.01,7:43:00,149.503,149.523,149.475,149.514,52,0,2
2024.08.01,7:44:00,149.514,149.531,149.502,149.53,54,0,2
2024.08.01,7:45:00,149.53,149.546,149.492,149.512,54,0,2
2024.08.01,7:46:00,149.515,149.551,149.498,149.5,60,0,3
2024.08.01,7:47:00,149.501,149.501,149.46,149.481,79,0,2
2024.08.01,7:48:00,149.482,149.544,149.472,149.532,76,0,4
2024.08.01,7:49:00,149.531,149.557,149.53,149.54,54,0,4
2024.08.01,7:50:00,149.54,149.629,149.539,149.606,68,0,1
2024.08.01,7:51:00,149.612,149.671,149.612,149.658,66,0,1
